country,date,GNC,n_ports,mean_NC,mean_observations_per_port,total_observations
Belgien,2022-07-27,-0.9151429143722778,1,2041.0,1.0,1
Belgien,2022-07-29,1.371990144465363,1,31735.0,6.0,6
Belgien,2022-08-03,-0.006657563962756541,1,30696.0,6.0,6
Belgien,2022-08-06,-0.8533257918303416,1,2373.0,1.0,1
Belgien,2022-08-08,-0.05307841228703225,1,2134.0,1.0,1
Belgien,2022-08-11,-0.0156703513970952,1,2036.0,1.0,1
Belgien,2022-08-13,1.3489403946390492,1,30231.0,6.0,6
Belgien,2022-08-16,-0.8617103792342758,1,2279.0,1.0,1
Belgien,2022-08-18,-0.02936706630158703,1,2149.0,1.0,1
Belgien,2022-08-21,-0.09874992343876343,1,1598.0,1.0,1
Belgien,2022-08-31,0.022339383288227842,1,1998.0,1.0,1
Belgien,2022-09-02,0.34619807392736135,1,3993.0,2.0,2
Belgien,2022-09-12,0.19448720804853714,1,27922.0,6.0,6
Belgien,2022-09-15,-0.8880509771653488,1,1945.0,1.0,1
Belgien,2022-09-22,0.38166367733933754,1,28132.0,6.0,6
Belgien,2022-09-30,-0.272581956291406,1,3178.0,1.0,1
Belgien,2022-10-07,0.3055967582099218,1,26989.0,5.0,5
Belgien,2022-10-12,-0.21450741029983575,1,9234.0,2.0,2
Belgien,2022-10-25,-0.08743769657641305,1,2963.0,1.0,1
Belgien,2022-11-01,0.32602805733133444,1,29032.0,6.0,6
Belgien,2022-11-09,-0.3397698737952626,1,1916.0,1.0,1
Belgien,2022-11-11,1.350971256313879,1,28565.0,6.0,6
Belgien,2022-11-24,-0.18424103598693106,1,2604.0,1.0,1
Belgien,2022-11-26,0.13979243110958128,1,3444.0,1.0,1
Belgien,2022-12-06,0.169359970475581,1,18732.0,5.0,5
Belgien,2022-12-09,-0.7399124908089124,1,2035.0,1.0,1
Belgien,2022-12-14,0.020885283718261684,1,2259.0,1.0,1
Belgien,2022-12-16,1.0459620880298415,1,18299.0,6.0,6
Belgien,2023-01-03,-0.11857922511617201,1,2165.0,1.0,1
Belgien,2023-01-05,-0.8595851504066583,1,388.0,1.0,1
Belgien,2023-01-08,0.4035504943817469,1,1302.0,1.0,1
Belgien,2023-01-30,0.031138635014878468,1,2583.0,1.0,1
Belgien,2023-02-02,-0.04100774077331337,1,2284.0,1.0,1
Belgien,2023-02-07,0.026837583924084286,1,2612.0,1.0,1
Belgien,2023-02-09,-0.06013732585171816,1,2316.0,1.0,1
Belgien,2023-02-14,0.487769829491722,1,26541.0,6.0,6
Belgien,2023-02-27,-0.16836791224087655,1,2974.0,1.0,1
Belgien,2023-03-01,1.0846325167973871,1,26028.0,6.0,6
Belgien,2023-04-03,-0.08480571134253012,1,1585.0,1.0,1
Belgien,2023-04-05,1.4070144111117293,1,26433.0,6.0,6
Belgien,2023-04-13,-0.3416815507488299,1,1718.0,1.0,1
Belgien,2023-04-15,1.356077537309838,1,25876.0,6.0,6
Belgien,2023-04-25,-0.24694143543533292,1,2190.0,1.0,1
Belgien,2023-04-30,0.2043521661137273,1,6084.0,2.0,2
Belgien,2023-05-03,-0.3042816662361778,1,2442.0,1.0,1
Belgien,2023-05-18,-0.018328845308607632,1,1855.0,1.0,1
Belgien,2023-05-20,1.0716635265785222,1,15819.0,3.0,3
Belgien,2023-05-25,-0.43714452242494595,1,1778.0,1.0,1
Belgien,2023-05-28,-0.06636986995954845,1,1457.0,1.0,1
Belgien,2023-05-30,1.4624803430380116,1,27149.0,6.0,6
Belgien,2023-06-04,0.0027363610925245753,1,27523.0,6.0,6
Belgien,2023-06-07,-0.8275159243235564,1,2299.0,1.0,1
Belgien,2023-06-09,1.2599939850996176,1,28573.0,6.0,6
